player,team,nation,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,Gls/90,Ast/90,xG/90,xGA/90,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ%,Tkld%,Carries,ProDist,ProgC,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Lost,Blocks,Sh,Pass,Int,SCA,SCA90,GCA,GCA90,Fls,Fld,Off,Crs,Recov,Won,Won%,GA90,Save%,CS%,PSave%
Aaron Anselmino,"2024-2025 Chelsea Stats
(Premier League)",ar ARG,DF,19,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Aaron Cresswell,"2024-2025 West Ham United Stats
(Premier League)",eng ENG,DF,35,14.0,7.0,589.0,0.0,0.0,2.0,0.0,0.1,1.1,0.0,0.0,0.02,0.17,0.0,0.0,0.0,29.8,355.0,80.7,6769.0,90.8,85.9,54.9,7.0,7.0,4.0,1.0,24.0,495.0,33.0,196.0,236.0,68.0,1.0,8.0,100.0,0.0,200.0,773.0,4.0,0.0,3.0,0.0,312.0,2.0,8.0,4.0,6.0,7.0,4.0,3.0,6.0,12.0,1.83,0.0,0.0,3.0,1.0,0.0,27.0,21.0,7.0,53.8,N/a,N/a,N/a,N/a
Aaron Ramsdale,"2024-2025 Arsenal Stats
(Premier League)",eng ENG,GK,26,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Aaron Ramsdale,"2024-2025 Southampton Stats
(Premier League)",eng ENG,GK,26,22.0,22.0,1980.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,605.0,64.7,16773.0,100.0,95.8,38.8,0.0,0.0,1.0,0.0,0.0,1000.0,724.0,989.0,13.0,0.0,0.0,2.0,N/a,N/a,634.0,3193.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.09,0.0,0.0,0.0,3.0,0.0,0.0,15.0,4.0,100.0,2.32,66.9,9.1,0.0
Aaron Wan-Bissaka,"2024-2025 West Ham United Stats
(Premier League)",eng ENG,DF,27,29.0,28.0,2524.0,2.0,2.0,1.0,0.0,1.0,2.5,0.07,0.07,0.04,0.09,30.8,0.14,0.15,15.5,1150.0,80.7,16456.0,89.4,81.8,47.3,25.0,52.0,25.0,11.0,112.0,1771.0,122.0,555.0,763.0,480.0,36.0,23.0,51.6,36.3,824.0,5329.0,90.0,11.0,27.0,18.0,1026.0,123.0,58.0,40.0,28.0,29.0,8.0,21.0,51.0,71.0,2.53,5.0,0.18,21.0,21.0,4.0,57.0,144.0,20.0,41.7,N/a,N/a,N/a,N/a
Abdoulaye Doucouré,"2024-2025 Everton Stats
(Premier League)",ml MLI,MF,32,26.0,25.0,2065.0,2.0,1.0,4.0,1.0,3.2,2.0,0.09,0.04,0.14,0.09,26.1,0.26,0.09,13.7,596.0,79.5,9030.0,84.7,82.5,71.4,24.0,21.0,13.0,0.0,66.0,952.0,29.0,196.0,438.0,332.0,45.0,27.0,54.5,45.5,498.0,2499.0,34.0,4.0,29.0,29.0,612.0,77.0,39.0,22.0,32.0,27.0,6.0,21.0,7.0,47.0,2.05,2.0,0.09,40.0,4.0,8.0,20.0,120.0,27.0,45.8,N/a,N/a,N/a,N/a
Abdukodir Khusanov,"2024-2025 Manchester City Stats
(Premier League)",uz UZB,DF,21,6.0,6.0,503.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,23.9,360.0,91.1,6126.0,94.7,97.0,26.1,2.0,1.0,0.0,0.0,25.0,445.0,45.0,205.0,211.0,31.0,1.0,3.0,0.0,100.0,274.0,1155.0,1.0,0.0,2.0,1.0,332.0,2.0,5.0,4.0,4.0,5.0,4.0,1.0,3.0,5.0,0.89,0.0,0.0,3.0,3.0,0.0,1.0,27.0,6.0,60.0,N/a,N/a,N/a,N/a
Abdul Fatawu Issahaku,"2024-2025 Leicester City Stats
(Premier League)",gh GHA,FW,21,11.0,6.0,579.0,0.0,2.0,0.0,0.0,0.4,1.6,0.0,0.31,0.06,0.24,38.5,0.78,0.0,31.2,123.0,62.4,2150.0,72.8,76.3,48.5,6.0,24.0,7.0,2.0,17.0,326.0,19.0,73.0,114.0,157.0,26.0,19.0,42.0,40.6,217.0,1869.0,42.0,15.0,18.0,12.0,216.0,60.0,21.0,15.0,13.0,7.0,0.0,7.0,4.0,17.0,2.64,3.0,0.47,11.0,20.0,2.0,30.0,38.0,14.0,51.9,N/a,N/a,N/a,N/a
Adam Armstrong,"2024-2025 Southampton Stats
(Premier League)",eng ENG,"FW,MF",28,20.0,15.0,1248.0,2.0,2.0,4.0,0.0,3.3,1.2,0.14,0.14,0.24,0.09,28.0,0.5,0.08,16.6,231.0,80.2,3320.0,87.3,85.3,46.2,9.0,13.0,8.0,2.0,21.0,377.0,11.0,44.0,143.0,192.0,49.0,14.0,42.9,57.1,235.0,1324.0,25.0,6.0,11.0,18.0,286.0,79.0,12.0,3.0,9.0,6.0,1.0,5.0,3.0,19.0,1.37,4.0,0.29,12.0,5.0,9.0,14.0,23.0,5.0,35.7,N/a,N/a,N/a,N/a
Adam Lallana,"2024-2025 Southampton Stats
(Premier League)",eng ENG,MF,36,14.0,5.0,361.0,0.0,2.0,4.0,0.0,0.2,0.9,0.0,0.5,0.04,0.23,0.0,0.0,0.0,18.1,221.0,85.0,2891.0,89.1,91.0,44.4,4.0,8.0,9.0,3.0,24.0,318.0,19.0,91.0,155.0,73.0,6.0,12.0,41.7,41.7,178.0,831.0,6.0,0.0,10.0,6.0,245.0,10.0,8.0,5.0,2.0,4.0,1.0,3.0,5.0,9.0,2.24,2.0,0.5,8.0,8.0,0.0,4.0,19.0,2.0,50.0,N/a,N/a,N/a,N/a
Adam Smith,"2024-2025 Bournemouth Stats
(Premier League)",eng ENG,DF,33,18.0,13.0,1080.0,0.0,0.0,4.0,0.0,0.6,0.2,0.0,0.0,0.05,0.01,0.0,0.0,0.0,10.2,331.0,75.6,5419.0,86.7,79.7,35.1,4.0,13.0,4.0,2.0,32.0,541.0,30.0,178.0,244.0,123.0,3.0,20.0,36.4,36.4,231.0,877.0,10.0,0.0,10.0,5.0,244.0,17.0,18.0,9.0,12.0,10.0,3.0,7.0,12.0,13.0,1.08,1.0,0.08,9.0,9.0,0.0,23.0,37.0,9.0,42.9,N/a,N/a,N/a,N/a
