,count
"2024-2025 Liverpool Stats
(Premier League)",22
"2024-2025 Manchester City Stats
(Premier League)",11
"2024-2025 Brentford Stats
(Premier League)",10
"2024-2025 Bournemouth Stats
(Premier League)",5
"2024-2025 Nottingham Forest Stats
(Premier League)",5
"2024-2025 Crystal Palace Stats
(Premier League)",5
"2024-2025 Fulham Stats
(Premier League)",4
"2024-2025 Chelsea Stats
(Premier League)",2
"2024-2025 Arsenal Stats
(Premier League)",2
"2024-2025 Newcastle United Stats
(Premier League)",2
"2024-2025 Leicester City Stats
(Premier League)",1
"2024-2025 Aston Villa Stats
(Premier League)",1
"2024-2025 Everton Stats
(Premier League)",1
