player,Value,team,nation,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,PrgC,PrgP,Prgr,Gls/90,Ast/90,xG/90,xGA/90,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP/passing,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ%,Tkld%,Carries,ProDist,ProgC,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Lost,Blocks,Sh,Pass,Int,SCA,SCA90,GCA,GCA90,Fls,Fld,Off,Crs,Recov,Won,Won%,GA90,Save%,CS%,PSave%
Erling Haaland,€199.6M,"2024-2025 Manchester City Stats
(Premier League)",no NOR,FW,24,28.0,28.0,2480.0,21.0,3.0,2.0,0.0,20.8,2.8,19.0,18.0,103.0,0.76,0.11,0.76,0.1,54.5,1.96,0.19,12.2,225.0,66.0,2706.0,70.6,66.7,66.7,26.0,14.0,7.0,1.0,18.0,578.0,22.0,39.0,200.0,344.0,170.0,6.0,34.4,59.4,272.0,1310.0,19.0,19.0,39.0,25.0,427.0,103.0,9.0,5.0,45.0,11.0,1.0,10.0,5.0,62.0,2.25,9.0,0.33,22.0,12.0,4.0,3.0,29.0,49.0,52.1,N/a,N/a,N/a,N/a
Martin Ødegaard,€125.8M,"2024-2025 Arsenal Stats
(Premier League)",no NOR,MF,26,24.0,21.0,1865.0,2.0,4.0,4.0,0.0,4.2,4.2,67.0,198.0,126.0,0.1,0.19,0.2,0.2,30.6,0.53,0.03,18.5,964.0,82.4,14639.0,90.7,87.5,48.2,49.0,57.0,65.0,5.0,198.0,1319.0,6.0,89.0,556.0,688.0,85.0,23.0,41.7,56.3,896.0,5500.0,67.0,18.0,26.0,36.0,1039.0,126.0,18.0,10.0,7.0,4.0,0.0,4.0,3.0,95.0,4.59,10.0,0.48,10.0,19.0,1.0,75.0,77.0,8.0,53.3,N/a,N/a,N/a,N/a
Alexander Isak,€119.4M,"2024-2025 Newcastle United Stats
(Premier League)",se SWE,FW,25,28.0,28.0,2265.0,20.0,6.0,1.0,0.0,16.6,4.0,74.0,73.0,180.0,0.79,0.24,0.66,0.16,44.0,1.31,0.24,14.4,425.0,73.4,6068.0,82.4,77.2,62.9,37.0,39.0,23.0,1.0,73.0,864.0,19.0,52.0,322.0,504.0,156.0,12.0,49.4,49.4,524.0,3280.0,74.0,40.0,57.0,48.0,610.0,180.0,12.0,5.0,44.0,17.0,2.0,15.0,3.0,80.0,3.18,14.0,0.56,24.0,12.0,19.0,14.0,50.0,23.0,34.3,N/a,N/a,N/a,N/a
Cole Palmer,€117.4M,"2024-2025 Chelsea Stats
(Premier League)",eng ENG,MF,22,31.0,30.0,2652.0,14.0,8.0,6.0,0.0,15.8,9.2,96.0,184.0,159.0,0.48,0.27,0.54,0.31,35.8,1.32,0.1,20.3,954.0,76.6,18125.0,85.4,84.8,58.9,75.0,64.0,56.0,15.0,184.0,1555.0,17.0,120.0,687.0,768.0,122.0,21.0,43.9,40.8,983.0,6499.0,96.0,34.0,56.0,30.0,1148.0,159.0,24.0,15.0,7.0,14.0,1.0,13.0,7.0,175.0,5.94,13.0,0.44,12.0,54.0,6.0,128.0,89.0,1.0,12.5,N/a,N/a,N/a,N/a
Alexis Mac Allister,€117M,"2024-2025 Liverpool Stats
(Premier League)",ar ARG,MF,26,31.0,28.0,2381.0,4.0,4.0,6.0,0.0,2.7,4.3,31.0,158.0,72.0,0.15,0.15,0.1,0.16,34.3,0.45,0.11,18.2,1165.0,83.5,18587.0,89.9,88.3,57.2,38.0,38.0,32.0,1.0,158.0,1702.0,50.0,257.0,892.0,569.0,55.0,91.0,38.5,51.3,834.0,3413.0,31.0,3.0,26.0,20.0,1132.0,72.0,85.0,51.0,31.0,57.0,5.0,52.0,20.0,108.0,4.08,14.0,0.53,58.0,38.0,2.0,70.0,132.0,18.0,36.7,N/a,N/a,N/a,N/a
Declan Rice,€116.4M,"2024-2025 Arsenal Stats
(Premier League)",eng ENG,MF,26,30.0,28.0,2410.0,2.0,6.0,6.0,1.0,2.6,6.3,82.0,162.0,82.0,0.07,0.22,0.1,0.23,25.6,0.37,0.05,19.7,1183.0,83.1,20305.0,92.6,89.9,48.2,51.0,53.0,31.0,5.0,162.0,1675.0,64.0,277.0,797.0,618.0,65.0,35.0,44.0,52.0,890.0,5704.0,82.0,14.0,36.0,24.0,1102.0,82.0,46.0,19.0,21.0,21.0,10.0,11.0,23.0,95.0,3.55,8.0,0.3,18.0,15.0,1.0,150.0,122.0,28.0,57.1,N/a,N/a,N/a,N/a
Bukayo Saka,€113M,"2024-2025 Arsenal Stats
(Premier League)",eng ENG,"FW,MF",23,19.0,16.0,1366.0,6.0,10.0,3.0,0.0,5.2,6.0,75.0,56.0,208.0,0.4,0.66,0.34,0.4,36.0,1.19,0.1,16.2,428.0,74.2,6693.0,89.0,72.5,48.8,43.0,22.0,30.0,10.0,56.0,780.0,6.0,43.0,175.0,569.0,127.0,20.0,45.1,40.2,492.0,3390.0,75.0,40.0,26.0,36.0,558.0,208.0,23.0,13.0,18.0,17.0,0.0,17.0,2.0,92.0,6.06,21.0,1.38,13.0,34.0,4.0,106.0,59.0,8.0,30.8,N/a,N/a,N/a,N/a
Phil Foden,€99.8M,"2024-2025 Manchester City Stats
(Premier League)",eng ENG,"MF,FW",24,25.0,19.0,1686.0,7.0,2.0,2.0,0.0,5.1,4.7,47.0,95.0,119.0,0.37,0.11,0.27,0.25,30.8,0.85,0.13,18.5,742.0,84.0,11563.0,90.6,89.2,59.6,42.0,30.0,35.0,5.0,95.0,1074.0,13.0,81.0,374.0,628.0,79.0,17.0,33.3,53.8,676.0,3472.0,47.0,15.0,35.0,30.0,840.0,119.0,12.0,5.0,8.0,12.0,1.0,11.0,9.0,84.0,4.48,9.0,0.48,5.0,31.0,3.0,73.0,58.0,3.0,27.3,N/a,N/a,N/a,N/a
Ryan Gravenberch,€85.5M,"2024-2025 Liverpool Stats
(Premier League)",nl NED,MF,22,32.0,32.0,2741.0,0.0,3.0,5.0,0.0,0.9,2.8,60.0,153.0,51.0,0.0,0.1,0.03,0.09,25.0,0.13,0.0,24.3,1515.0,89.0,22580.0,92.4,91.7,60.2,24.0,68.0,30.0,1.0,153.0,2056.0,98.0,418.0,1211.0,454.0,23.0,47.0,47.1,37.1,1228.0,6395.0,60.0,9.0,44.0,19.0,1476.0,51.0,59.0,30.0,11.0,32.0,9.0,23.0,54.0,59.0,1.94,6.0,0.2,39.0,45.0,0.0,6.0,171.0,21.0,65.6,N/a,N/a,N/a,N/a
Moisés Caicedo,€82.8M,"2024-2025 Chelsea Stats
(Premier League)",ec ECU,MF,23,32.0,32.0,2811.0,1.0,2.0,9.0,0.0,0.7,2.9,37.0,180.0,32.0,0.03,0.06,0.02,0.09,17.6,0.1,0.06,25.0,1687.0,89.9,29272.0,92.2,92.9,77.9,27.0,24.0,30.0,2.0,180.0,2196.0,78.0,469.0,1348.0,402.0,12.0,74.0,39.6,37.5,1215.0,5692.0,37.0,2.0,31.0,21.0,1548.0,32.0,94.0,58.0,15.0,41.0,9.0,32.0,42.0,85.0,2.72,7.0,0.22,57.0,50.0,0.0,8.0,184.0,29.0,65.9,N/a,N/a,N/a,N/a
