player,team,nation,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,PrgC,PrgP,Prgr,Gls/90,Ast/90,xG/90,xGA/90,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP/passing,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ%,Tkld%,Carries,ProDist,ProgC,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Lost,Blocks,Sh,Pass,Int,SCA,SCA90,GCA,GCA90,Fls,Fld,Off,Crs,Recov,Won,Won%,GA90,Save%,CS%,PSave%
Aaron Cresswell,"2024-2025 West Ham United Stats
(Premier League)",eng ENG,DF,35,14.0,7.0,589.0,0.0,0.0,2.0,0.0,0.1,1.1,4.0,24.0,2.0,0.0,0.0,0.02,0.17,0.0,0.0,0.0,29.8,355.0,80.7,6769.0,90.8,85.9,54.9,7.0,7.0,4.0,1.0,24.0,495.0,33.0,196.0,236.0,68.0,1.0,8.0,100.0,0.0,200.0,773.0,4.0,0.0,3.0,0.0,312.0,2.0,8.0,4.0,6.0,7.0,4.0,3.0,6.0,12.0,1.83,0.0,0.0,3.0,1.0,0.0,27.0,21.0,7.0,53.8,N/a,N/a,N/a,N/a
Aaron Ramsdale,"2024-2025 Southampton Stats
(Premier League)",eng ENG,GK,26,24.0,24.0,2160.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,655.0,65.5,18107.0,100.0,95.8,39.4,0.0,0.0,1.0,0.0,0.0,1076.0,783.0,1064.0,14.0,0.0,0.0,2.0,N/a,N/a,668.0,3391.0,0.0,0.0,2.0,0.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.08,0.0,0.0,1.0,3.0,0.0,0.0,17.0,4.0,100.0,2.37,67.5,8.3,28.6
Aaron Wan-Bissaka,"2024-2025 West Ham United Stats
(Premier League)",eng ENG,DF,27,31.0,30.0,2704.0,2.0,2.0,1.0,0.0,1.0,2.7,93.0,118.0,131.0,0.07,0.07,0.03,0.09,30.8,0.13,0.15,15.5,1234.0,80.9,17639.0,89.7,82.1,47.9,27.0,54.0,27.0,11.0,118.0,1900.0,134.0,610.0,808.0,509.0,38.0,26.0,53.7,34.7,887.0,5707.0,93.0,12.0,28.0,20.0,1090.0,131.0,61.0,43.0,28.0,31.0,9.0,22.0,57.0,75.0,2.5,5.0,0.17,22.0,23.0,4.0,61.0,153.0,22.0,44.0,N/a,N/a,N/a,N/a
Abdoulaye Doucouré,"2024-2025 Everton Stats
(Premier League)",ml MLI,MF,32,28.0,27.0,2245.0,3.0,1.0,5.0,1.0,3.6,2.3,36.0,70.0,87.0,0.12,0.04,0.14,0.09,30.8,0.32,0.12,13.9,637.0,79.7,9630.0,85.1,82.7,73.1,26.0,22.0,13.0,0.0,70.0,1023.0,30.0,210.0,465.0,362.0,50.0,33.0,50.0,50.0,540.0,2680.0,36.0,6.0,32.0,32.0,658.0,87.0,42.0,25.0,38.0,29.0,6.0,23.0,7.0,50.0,2.0,2.0,0.08,44.0,5.0,8.0,22.0,131.0,28.0,42.4,N/a,N/a,N/a,N/a
Abdukodir Khusanov,"2024-2025 Manchester City Stats
(Premier League)",uz UZB,DF,21,6.0,6.0,503.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,23.9,360.0,91.1,6126.0,94.7,97.0,26.1,2.0,1.0,0.0,0.0,25.0,445.0,45.0,205.0,211.0,31.0,1.0,3.0,0.0,100.0,274.0,1155.0,1.0,0.0,2.0,1.0,332.0,2.0,5.0,4.0,4.0,5.0,4.0,1.0,3.0,5.0,0.89,0.0,0.0,3.0,3.0,0.0,1.0,27.0,6.0,60.0,N/a,N/a,N/a,N/a
Abdul Fatawu Issahaku,"2024-2025 Leicester City Stats
(Premier League)",gh GHA,FW,21,11.0,6.0,579.0,0.0,2.0,0.0,0.0,0.4,1.6,42.0,17.0,60.0,0.0,0.31,0.06,0.24,38.5,0.78,0.0,31.2,123.0,62.4,2150.0,72.8,76.3,48.5,6.0,24.0,7.0,2.0,17.0,326.0,19.0,73.0,114.0,157.0,26.0,19.0,42.0,40.6,217.0,1869.0,42.0,15.0,18.0,12.0,216.0,60.0,21.0,15.0,13.0,7.0,0.0,7.0,4.0,17.0,2.64,3.0,0.47,11.0,20.0,2.0,30.0,38.0,14.0,51.9,N/a,N/a,N/a,N/a
Adam Armstrong,"2024-2025 Southampton Stats
(Premier League)",eng ENG,"FW,MF",28,20.0,15.0,1248.0,2.0,2.0,4.0,0.0,3.3,1.2,25.0,21.0,79.0,0.14,0.14,0.24,0.09,28.0,0.5,0.08,16.6,231.0,80.2,3320.0,87.3,85.3,46.2,9.0,13.0,8.0,2.0,21.0,377.0,11.0,44.0,143.0,192.0,49.0,14.0,42.9,57.1,235.0,1324.0,25.0,6.0,11.0,18.0,286.0,79.0,12.0,3.0,9.0,6.0,1.0,5.0,3.0,19.0,1.37,4.0,0.29,12.0,5.0,9.0,14.0,23.0,5.0,35.7,N/a,N/a,N/a,N/a
Adam Lallana,"2024-2025 Southampton Stats
(Premier League)",eng ENG,MF,36,14.0,5.0,361.0,0.0,2.0,4.0,0.0,0.2,0.9,6.0,24.0,10.0,0.0,0.5,0.04,0.23,0.0,0.0,0.0,18.1,221.0,85.0,2891.0,89.1,91.0,44.4,4.0,8.0,9.0,3.0,24.0,318.0,19.0,91.0,155.0,73.0,6.0,12.0,41.7,41.7,178.0,831.0,6.0,0.0,10.0,6.0,245.0,10.0,8.0,5.0,2.0,4.0,1.0,3.0,5.0,9.0,2.24,2.0,0.5,8.0,8.0,0.0,4.0,19.0,2.0,50.0,N/a,N/a,N/a,N/a
Adam Smith,"2024-2025 Bournemouth Stats
(Premier League)",eng ENG,DF,33,19.0,14.0,1146.0,0.0,0.0,5.0,0.0,0.6,0.2,10.0,33.0,19.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,10.2,344.0,75.4,5606.0,86.3,79.8,33.9,5.0,13.0,5.0,2.0,33.0,562.0,31.0,181.0,258.0,127.0,3.0,21.0,33.3,41.7,241.0,935.0,10.0,0.0,10.0,5.0,256.0,19.0,18.0,9.0,12.0,10.0,3.0,7.0,12.0,14.0,1.1,1.0,0.08,13.0,9.0,0.0,23.0,38.0,9.0,42.9,N/a,N/a,N/a,N/a
Adam Webster,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",eng ENG,DF,30,11.0,8.0,617.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,40.0,2.0,0.0,0.0,0.0,0.07,100.0,0.15,0.0,15.3,429.0,85.6,7934.0,95.5,91.8,50.6,3.0,2.0,2.0,0.0,40.0,569.0,84.0,279.0,271.0,22.0,8.0,11.0,33.3,66.7,326.0,1927.0,7.0,0.0,3.0,1.0,384.0,2.0,8.0,5.0,4.0,12.0,9.0,3.0,14.0,10.0,1.46,3.0,0.44,5.0,2.0,1.0,1.0,20.0,17.0,81.0,N/a,N/a,N/a,N/a
