Team/Stat,Median of age,Mean of age,Std of age,Median of matches_played,Mean of matches_played,Std of matches_played,Median of starts,Mean of starts,Std of starts,Median of minutes,Mean of minutes,Std of minutes,Median of goals,Mean of goals,Std of goals,Median of assists,Mean of assists,Std of assists,Median of yellow_cards,Mean of yellow_cards,Std of yellow_cards,Median of red_cards,Mean of red_cards,Std of red_cards,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of Prgr,Mean of Prgr,Std of Prgr,Median of Gls/90,Mean of Gls/90,Std of Gls/90,Median of Ast/90,Mean of Ast/90,Std of Ast/90,Median of xG/90,Mean of xG/90,Std of xG/90,Median of xGA/90,Mean of xGA/90,Std of xGA/90,Median of SoT%,Mean of SoT%,Std of SoT%,Median of SoT/90,Mean of SoT/90,Std of SoT/90,Median of G/sh,Mean of G/sh,Std of G/sh,Median of Dist,Mean of Dist,Std of Dist,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of Short_Cmp%,Mean of Short_Cmp%,Std of Short_Cmp%,Median of Medium_Cmp%,Mean of Medium_Cmp%,Std of Medium_Cmp%,Median of Long_Cmp%,Mean of Long_Cmp%,Std of Long_Cmp%,Median of KP,Mean of KP,Std of KP,Median of 1/3,Mean of 1/3,Std of 1/3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of PrgP/passing,Mean of PrgP/passing,Std of PrgP/passing,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen,Mean of Def Pen,Std of Def Pen,Median of Def 3rd,Mean of Def 3rd,Std of Def 3rd,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Att Pen,Mean of Att Pen,Std of Att Pen,Median of Att,Mean of Att,Std of Att,Median of Succ%,Mean of Succ%,Std of Succ%,Median of Tkld%,Mean of Tkld%,Std of Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of ProgC,Mean of ProgC,Std of ProgC,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Lost,Mean of Lost,Std of Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Won,Mean of Won,Std of Won,Median of Won%,Mean of Won%,Std of Won%,Median of GA90,Mean of GA90,Std of GA90,Median of Save%,Mean of Save%,Std of Save%,Median of CS%,Mean of CS%,Std of CS%,Median of PSave%,Mean of PSave%,Std of PSave%
all,26.00,26.40,4.22,21.00,19.60,9.03,14.00,14.43,10.00,1233.00,1293.65,844.39,1.00,1.89,3.32,1.00,1.39,2.10,2.00,2.77,2.43,0.00,0.08,0.30,0.80,1.92,2.93,0.70,1.42,1.76,13.00,24.55,28.77,35.50,48.48,46.24,22.00,47.84,60.04,0.03,0.12,0.19,0.04,0.09,0.12,0.07,0.14,0.16,0.07,0.10,0.10,30.00,29.69,20.37,0.23,0.41,0.49,0.06,0.08,0.11,16.40,16.70,5.04,425.50,519.67,425.18,79.95,79.33,8.22,6910.50,8926.01,7684.87,89.65,88.74,6.70,85.70,84.07,10.07,53.85,54.43,16.33,8.00,12.83,14.34,12.00,16.52,17.10,6.00,10.87,13.27,1.00,2.56,3.98,35.50,48.48,46.24,676.00,786.33,575.94,31.00,88.80,163.22,147.50,260.73,285.74,259.00,334.33,291.62,126.50,199.08,196.15,19.00,32.50,38.48,16.50,21.24,19.13,44.80,46.70,23.00,44.30,41.96,21.71,372.00,440.72,331.44,1941.50,2365.38,1821.77,13.00,24.55,28.77,2.00,7.72,13.48,11.00,17.80,18.11,7.00,12.51,13.97,443.00,514.26,388.44,22.00,47.84,60.04,16.50,23.32,21.20,10.00,13.91,13.02,12.00,17.04,17.33,11.00,14.37,12.88,2.00,4.84,6.90,7.00,9.52,8.79,7.00,10.65,11.13,19.00,30.03,30.06,1.80,2.08,1.43,2.00,3.27,3.92,0.15,0.21,0.22,11.00,14.56,12.93,10.00,14.12,13.72,1.00,2.26,3.74,8.00,22.82,33.29,42.50,54.94,43.42,9.00,17.06,19.85,0.50,0.49,0.22,1.50,1.64,0.65,0.69,0.67,0.08,0.20,0.24,0.23,0.00,0.17,0.29
"2024-2025 West Ham United Stats
(Premier League)",28.00,28.12,5.00,20.00,19.76,7.88,13.00,14.08,9.93,1070.00,1262.72,833.12,0.00,1.32,2.19,1.00,0.80,1.12,2.00,2.76,2.52,0.00,0.12,0.33,1.00,1.65,2.06,1.00,1.14,1.20,11.00,20.88,27.50,29.00,40.68,36.87,18.00,40.36,51.65,0.00,0.09,0.14,0.03,0.07,0.13,0.07,0.14,0.16,0.09,0.11,0.10,25.00,22.78,15.02,0.13,0.36,0.42,0.00,0.05,0.07,16.70,17.77,5.54,424.00,482.88,368.98,79.10,78.23,7.76,7540.00,8512.00,6660.76,89.10,88.43,7.00,84.70,82.76,10.99,53.00,52.37,18.87,9.00,11.16,11.08,10.00,13.48,15.34,4.00,8.96,10.85,1.00,2.44,3.40,29.00,40.68,36.87,617.00,756.04,542.49,33.00,99.08,161.91,195.00,278.84,284.59,318.00,321.56,262.76,97.00,162.92,166.65,22.00,28.32,35.74,20.00,17.84,13.80,50.00,52.13,22.61,42.75,36.65,22.84,284.00,383.40,286.53,1371.00,1949.48,1609.67,11.00,20.88,27.50,2.00,5.96,11.76,10.00,16.60,18.09,6.00,13.52,20.79,361.00,479.24,351.46,18.00,40.36,51.65,15.00,21.64,19.16,10.00,12.92,11.56,11.00,19.16,18.09,14.00,15.52,12.62,4.00,5.84,7.68,9.00,9.68,7.58,7.00,11.52,14.09,14.00,27.76,27.59,2.37,2.26,1.59,1.00,1.96,2.62,0.11,0.13,0.16,12.00,14.64,12.85,11.00,13.80,15.49,1.00,2.52,3.99,11.00,20.56,24.93,38.00,52.76,44.82,9.00,19.96,24.72,0.50,0.52,0.17,1.69,1.69,0.01,0.68,0.68,0.09,0.18,0.18,0.02,0.00,0.00,
"2024-2025 Southampton Stats
(Premier League)",26.00,26.45,4.20,20.00,17.14,9.49,11.00,12.10,8.86,972.00,1083.07,771.33,0.00,0.76,1.09,0.00,0.48,0.83,2.00,2.69,2.88,0.00,0.10,0.41,0.40,1.01,1.36,0.50,0.75,0.85,10.00,19.17,25.22,21.00,34.00,36.66,19.00,32.97,35.42,0.00,0.05,0.08,0.00,0.04,0.10,0.04,0.08,0.09,0.03,0.06,0.06,28.00,23.23,23.47,0.10,0.21,0.30,0.00,0.06,0.09,17.80,17.15,6.22,242.00,462.62,440.68,80.20,81.11,7.88,3918.00,7832.90,7813.91,90.80,89.89,6.80,89.50,85.62,10.80,55.25,53.39,17.04,5.00,8.03,8.14,8.00,14.03,17.03,5.00,6.48,7.39,1.00,1.79,2.55,21.00,34.00,36.66,429.00,670.90,581.35,34.00,86.55,155.57,156.00,246.28,294.91,186.00,289.14,282.10,122.00,141.28,137.09,15.00,20.07,19.25,12.00,17.17,13.42,43.90,48.20,27.94,45.05,42.41,28.16,253.00,374.48,329.78,1324.00,1978.03,1826.85,10.00,19.17,25.22,1.00,4.83,7.15,9.00,13.55,13.72,5.00,10.52,13.14,321.00,457.66,399.49,19.00,32.97,35.42,12.00,19.17,18.06,7.00,11.07,10.60,7.00,11.31,12.28,7.00,12.31,13.82,2.00,5.34,8.62,5.00,6.97,7.45,5.00,9.03,11.60,15.00,18.24,17.83,1.40,1.41,0.81,1.00,1.28,1.75,0.06,0.11,0.14,10.00,13.55,12.53,8.00,12.38,13.89,0.00,1.41,2.60,5.00,16.21,24.08,23.00,42.69,40.91,6.00,13.31,19.52,0.55,0.55,0.23,2.37,2.43,0.15,0.68,0.68,0.03,0.00,0.03,0.05,0.14,0.14,0.20
"2024-2025 Everton Stats
(Premier League)",26.00,27.50,5.05,23.00,20.36,8.89,14.50,15.95,10.01,1250.00,1431.50,851.88,1.00,1.41,1.97,1.00,0.91,1.11,3.00,3.05,2.01,0.00,0.09,0.29,0.85,1.61,1.93,0.95,1.24,1.08,11.00,18.45,18.87,32.50,39.23,32.64,23.00,38.50,38.20,0.04,0.10,0.13,0.04,0.06,0.08,0.06,0.12,0.13,0.06,0.09,0.08,33.30,32.20,23.33,0.28,0.38,0.40,0.06,0.08,0.11,17.20,17.31,5.33,367.00,423.82,310.61,73.70,74.30,7.91,6518.00,8010.64,7157.08,86.25,85.57,7.64,80.95,79.45,12.30,54.40,56.66,15.60,8.50,11.73,9.67,10.00,13.59,10.42,8.00,9.95,9.35,1.00,3.27,4.64,32.50,39.23,32.64,623.00,733.68,476.26,29.50,93.64,200.84,144.00,264.91,332.64,269.00,292.86,215.36,166.50,183.95,133.92,18.00,27.77,24.38,18.50,24.55,21.26,48.60,47.27,19.99,45.70,44.95,20.56,300.00,354.68,224.77,1600.50,1908.23,1286.29,11.00,18.45,18.87,2.00,4.86,6.93,11.50,19.59,18.74,10.00,15.09,13.22,404.00,419.91,255.22,23.00,38.50,38.20,22.50,28.41,26.88,12.50,16.55,16.24,14.50,21.68,22.25,11.50,15.18,14.04,3.00,5.59,9.17,7.50,9.59,8.15,8.50,12.64,12.05,24.50,27.50,18.78,1.83,1.95,1.16,2.00,2.36,2.06,0.11,0.17,0.16,14.50,16.95,13.20,12.00,14.27,11.84,1.00,3.23,6.08,6.50,25.91,33.80,52.00,58.73,44.32,10.00,23.45,28.00,0.51,0.48,0.18,1.19,1.19,,0.71,0.71,,0.31,0.31,,1.00,1.00,
"2024-2025 Manchester City Stats
(Premier League)",26.00,26.40,4.77,21.00,18.16,8.49,14.00,14.04,8.23,1277.00,1262.56,726.72,1.00,2.44,4.41,0.00,1.76,2.37,2.00,2.20,1.63,0.00,0.04,0.20,1.10,2.36,4.17,1.50,1.89,2.11,31.00,38.52,41.82,55.00,64.52,55.04,18.00,63.88,72.11,0.05,0.19,0.30,0.00,0.10,0.14,0.07,0.17,0.26,0.07,0.12,0.13,28.75,29.84,21.50,0.33,0.48,0.58,0.07,0.13,0.21,18.10,17.40,4.98,649.00,724.28,531.43,87.70,86.62,6.81,9657.00,11710.16,8648.02,94.40,92.15,6.06,91.70,89.40,7.97,65.70,61.79,11.71,9.00,16.16,15.70,22.00,28.92,25.85,11.00,14.60,15.15,0.00,2.16,3.01,55.00,64.52,55.04,851.00,942.84,629.23,32.00,71.12,127.99,189.00,220.80,220.50,331.00,402.72,349.45,324.00,326.96,259.55,19.00,45.20,50.02,12.00,15.16,14.21,45.20,48.39,26.39,34.90,37.61,23.73,563.00,606.64,415.74,2879.00,3487.32,2478.81,31.00,38.52,41.82,3.00,13.64,21.68,10.00,15.60,14.27,9.00,13.40,13.90,630.00,714.44,487.52,18.00,63.88,72.11,13.00,16.92,15.45,6.00,10.36,10.10,8.00,10.52,10.25,11.00,10.96,8.49,1.00,3.00,4.20,9.00,7.96,6.28,5.00,7.60,7.77,31.00,37.24,31.91,2.25,2.47,1.78,3.00,4.24,4.18,0.29,0.29,0.25,8.00,9.76,7.63,12.00,12.76,10.95,0.00,1.60,2.27,3.00,21.40,28.50,46.00,48.44,33.10,5.00,10.24,12.99,0.52,0.45,0.22,1.40,1.40,0.36,0.66,0.66,0.03,0.26,0.26,0.08,0.00,0.00,0.00
"2024-2025 Leicester City Stats
(Premier League)",26.00,26.69,4.51,20.00,18.58,9.11,13.00,13.54,9.44,1242.00,1216.62,779.00,0.00,1.04,1.80,0.00,0.81,1.13,2.00,2.88,2.41,0.00,0.00,0.00,0.35,1.07,1.94,0.40,0.85,1.04,12.50,19.54,21.43,25.50,36.15,33.57,19.00,35.73,38.61,0.00,0.06,0.10,0.00,0.06,0.09,0.04,0.07,0.09,0.03,0.07,0.08,33.30,32.28,18.16,0.22,0.29,0.28,0.00,0.06,0.07,17.70,18.33,5.70,366.00,455.58,348.64,77.55,77.92,8.38,5350.00,7633.92,5995.72,88.75,88.68,7.03,82.85,84.29,9.04,51.00,55.08,18.39,6.00,8.31,8.47,8.00,12.38,11.95,5.00,7.35,8.18,1.00,2.31,3.95,25.50,36.15,33.57,726.50,710.77,494.81,27.50,92.38,152.30,133.50,258.23,262.07,298.00,323.62,262.10,95.50,136.15,128.19,14.50,20.81,23.10,18.00,22.77,20.98,42.45,43.82,28.55,50.00,47.82,25.53,415.50,402.15,267.86,2272.00,2042.42,1351.58,12.50,19.54,21.43,2.50,4.54,5.85,12.00,16.31,15.22,7.00,10.62,11.90,458.50,451.38,307.15,19.00,35.73,38.61,20.00,23.88,21.02,12.00,13.73,12.30,14.50,18.35,16.33,14.00,16.23,13.18,3.00,6.08,7.40,8.00,10.15,8.41,8.00,10.77,11.46,13.00,19.08,17.47,1.40,1.35,0.99,1.00,1.81,2.35,0.06,0.13,0.16,12.50,12.92,9.95,10.50,12.46,11.01,0.50,2.04,4.51,9.00,21.12,26.49,40.00,49.00,36.39,11.00,16.58,16.00,0.51,0.49,0.20,2.20,2.73,1.10,0.59,0.54,0.13,0.00,0.01,0.02,0.25,0.25,
"2024-2025 Bournemouth Stats
(Premier League)",25.00,25.87,3.73,22.00,19.78,8.89,14.00,14.78,10.48,1380.00,1323.65,888.29,1.00,2.17,3.34,1.00,1.61,2.02,3.00,3.30,2.85,0.00,0.04,0.21,1.00,2.53,3.36,1.10,1.68,1.75,18.00,26.70,31.38,36.00,52.65,47.65,22.00,51.87,65.52,0.03,0.14,0.19,0.05,0.11,0.12,0.08,0.19,0.21,0.09,0.13,0.15,30.85,25.24,17.69,0.17,0.56,0.67,0.06,0.06,0.06,15.80,15.40,4.72,344.00,444.43,360.60,73.30,73.81,6.80,5606.00,8110.57,6973.02,87.80,86.70,7.34,79.80,81.38,10.82,46.60,47.42,19.18,10.00,16.26,15.59,14.00,17.87,18.09,6.00,12.09,12.56,2.00,3.52,4.85,36.00,52.65,47.65,749.00,755.57,556.56,36.00,78.35,130.22,131.00,227.22,246.22,255.00,323.30,287.93,99.00,214.65,216.85,19.00,36.70,45.04,21.00,23.30,19.75,41.15,42.50,19.69,46.60,43.73,19.47,407.00,407.00,303.49,2051.00,2350.30,1952.54,18.00,26.70,31.38,1.00,8.61,15.25,17.00,21.22,19.31,7.00,12.70,15.41,378.00,439.91,325.94,22.00,51.87,65.52,20.00,25.96,21.72,9.00,15.09,13.73,22.00,22.30,18.46,12.00,16.57,15.23,2.00,4.74,6.50,8.00,11.83,11.48,8.00,13.09,14.47,26.00,37.39,34.00,2.35,2.62,1.92,2.00,3.74,3.92,0.23,0.24,0.21,14.00,18.43,16.78,9.00,13.87,12.41,0.00,2.52,4.62,10.00,29.65,37.11,52.00,66.61,53.89,20.00,20.35,18.78,0.44,0.49,0.18,1.00,1.12,0.21,0.80,0.79,0.06,0.20,0.14,0.12,0.00,0.00,
"2024-2025 Brighton & Hove Albion Stats
(Premier League)",24.00,25.33,5.23,19.00,18.30,9.06,9.00,13.04,9.28,903.00,1167.70,813.54,1.00,1.81,2.75,1.00,1.15,1.56,2.00,2.48,2.44,0.00,0.07,0.27,0.70,1.85,2.53,0.80,1.24,1.39,16.00,25.00,29.22,36.00,47.63,46.54,27.00,46.96,61.18,0.05,0.13,0.15,0.04,0.08,0.10,0.09,0.13,0.13,0.09,0.10,0.07,29.20,30.58,21.17,0.30,0.47,0.66,0.06,0.08,0.09,16.10,17.31,3.76,314.00,490.44,450.31,80.80,80.00,7.79,4884.00,8379.59,8669.24,91.80,89.69,6.43,82.40,82.38,9.41,52.40,54.58,16.15,9.00,11.33,9.72,16.00,17.41,17.42,8.00,10.48,10.20,1.00,2.67,3.80,36.00,47.63,46.54,569.00,734.30,572.68,25.00,81.56,183.11,114.00,236.89,304.91,246.00,320.85,300.70,137.00,184.93,170.66,17.00,32.70,40.35,17.00,21.33,17.45,42.50,45.53,21.53,47.15,45.95,20.40,334.00,427.11,357.03,1927.00,2369.96,2117.34,16.00,25.00,29.22,2.00,7.67,14.12,10.00,17.93,18.45,7.00,11.19,11.69,384.00,484.56,394.50,27.00,46.96,61.18,16.00,21.15,18.00,10.00,12.70,10.77,12.00,14.56,13.87,12.00,13.59,11.51,2.00,3.85,5.14,9.00,9.74,9.47,8.00,9.85,9.17,22.00,28.63,22.72,2.59,2.44,1.21,3.00,3.19,2.88,0.22,0.24,0.21,9.00,13.85,11.75,8.00,13.26,14.44,1.00,1.30,1.79,9.00,20.44,25.50,40.00,50.93,40.60,13.00,16.52,16.90,0.54,0.52,0.20,1.05,1.05,0.78,0.70,0.70,0.07,0.35,0.35,0.21,0.00,0.00,
"2024-2025 Crystal Palace Stats
(Premier League)",27.00,26.62,3.22,26.00,21.29,9.01,16.00,16.14,11.35,1428.00,1447.90,951.93,0.00,1.76,3.16,1.00,1.48,2.09,2.00,3.05,2.91,0.00,0.14,0.36,1.00,2.24,3.11,1.10,1.74,1.98,11.00,19.19,20.23,44.00,45.71,35.98,10.00,45.43,58.87,0.00,0.09,0.14,0.04,0.07,0.09,0.08,0.14,0.14,0.12,0.11,0.08,35.50,31.13,18.61,0.35,0.51,0.47,0.00,0.06,0.09,17.70,18.30,5.63,452.00,469.05,352.40,75.70,74.22,6.96,7210.00,8438.81,6883.69,85.40,84.41,6.45,81.80,80.00,10.53,46.70,49.68,18.30,9.00,14.57,14.82,9.00,13.62,12.52,4.00,10.29,10.78,1.00,2.57,3.64,44.00,45.71,35.98,729.00,798.19,554.39,24.00,99.95,196.89,162.00,300.19,332.80,342.00,332.43,242.10,114.00,173.24,166.02,14.00,29.62,32.25,23.00,26.62,19.85,41.25,41.54,23.68,46.75,48.02,26.23,358.00,397.86,279.74,1769.00,2030.29,1478.63,11.00,19.19,20.23,1.00,4.95,7.02,13.00,18.95,18.64,12.00,13.57,13.26,473.00,464.81,315.85,10.00,45.43,58.87,21.00,30.90,27.03,12.00,18.29,17.02,19.00,25.67,23.50,17.00,18.71,15.98,2.00,5.38,6.32,11.00,13.33,11.46,10.00,12.71,12.91,24.00,33.67,31.69,2.03,2.25,1.53,3.00,3.38,3.14,0.17,0.18,0.17,10.00,16.00,14.55,18.00,16.19,13.97,1.00,3.00,4.74,7.00,23.24,29.28,57.00,66.14,49.03,14.00,20.33,20.26,0.43,0.41,0.19,1.29,1.29,,0.69,0.69,,0.29,0.29,,0.50,0.50,
"2024-2025 Fulham Stats
(Premier League)",28.00,28.27,3.40,23.00,21.68,8.57,16.00,15.45,10.39,1502.00,1388.82,864.58,0.50,2.09,3.10,1.00,1.77,2.43,2.00,3.00,2.86,0.00,0.09,0.29,0.80,1.90,2.53,0.70,1.46,1.71,18.50,29.05,33.17,45.00,57.14,43.96,28.50,56.23,65.98,0.02,0.20,0.34,0.10,0.11,0.13,0.07,0.15,0.17,0.09,0.10,0.08,30.80,28.99,20.24,0.20,0.58,0.70,0.06,0.08,0.11,15.40,16.49,4.35,583.00,604.91,454.48,81.85,80.51,7.91,9961.50,10809.50,8838.91,90.80,88.46,6.71,85.20,85.36,8.51,58.20,61.09,15.71,8.50,14.55,15.44,15.50,20.18,21.40,5.50,11.77,16.87,1.00,3.64,6.31,45.00,57.14,43.96,892.00,890.09,619.09,25.00,97.45,210.15,146.50,299.45,353.71,364.00,370.91,290.46,190.50,229.00,207.19,21.00,33.86,34.94,17.50,21.27,19.10,44.40,44.98,23.14,39.10,37.93,17.60,486.00,528.82,375.82,2318.00,2721.68,1983.15,18.50,29.05,33.17,3.50,8.45,10.55,13.50,18.55,16.80,7.00,10.73,10.92,587.50,598.77,411.01,28.50,56.23,65.98,23.00,25.18,21.22,12.00,15.14,13.40,16.00,19.41,19.17,13.00,13.64,10.21,2.00,4.00,5.05,9.50,9.64,7.68,8.50,11.73,12.69,24.50,34.14,30.02,2.25,2.49,1.67,2.00,3.86,4.16,0.19,0.25,0.24,14.00,15.59,12.32,12.50,13.45,10.29,0.00,1.59,2.99,12.00,31.86,44.62,50.50,59.50,40.94,13.50,19.73,19.96,0.50,0.47,0.21,1.35,1.35,,0.68,0.68,,0.16,0.16,,0.00,0.00,
