Player,Age,Team,minutes,Estimated Value
Erling Haaland,24,Manchester City,2480.0,€199.6M
Martin Ødegaard,26,Arsenal FC,1865.0,€125.8M
Alexander Isak,25,Newcastle United,2265.0,€119.4M
Cole Palmer,22,Chelsea,2652.0,€117.4M
Alexis Mac Allister,26,Liverpool FC,2381.0,€117M
Declan Rice,26,Arsenal FC,2410.0,€116.4M
Bukayo Saka,23,Arsenal FC,1366.0,€113M
Phil Foden,24,Manchester City,1686.0,€99.8M
Ryan Gravenberch,22,Liverpool FC,2741.0,€85.5M
Moisés Caicedo,23,Chelsea,2811.0,€82.8M
Bruno Guimarães,27,Newcastle United,2661.0,€82.3M
Morgan Rogers,23,Aston Villa,2597.0,€79.6M
William Saliba,24,Arsenal FC,2634.0,€79.5M
Joško Gvardiol,23,Manchester City,2737.0,€77.4M
Sávio,21,Manchester City,1657.0,€74.8M
Rúben Dias,27,Manchester City,1731.0,€74.5M
Enzo Fernández,24,Chelsea,2410.0,€74.2M
Lucas Paquetá,27,West Ham United,2077.0,€73.5M
Archie Gray,19,Tottenham,1346.0,€72.5M
Dominik Szoboszlai,24,Liverpool FC,2120.0,€70.5M
Kai Havertz,25,Arsenal FC,1839.0,€70M
Luis Díaz,28,Liverpool FC,2061.0,€69.3M
Cody Gakpo,25,Liverpool FC,1501.0,€67.7M
Brennan Johnson,23,Tottenham,1969.0,€67M
Nicolas Jackson,23,Chelsea,1948.0,€66.9M
Gabriel Magalhães,27,Arsenal FC,2363.0,€66.5M
Leny Yoro,19,Manchester United,967.0,€66.2M
Murillo,22,Nottingham Forest,2748.0,€66M
Amadou Onana,23,Aston Villa,1254.0,€64.4M
Ollie Watkins,29,Aston Villa,2167.0,€63.2M
Mohammed Kudus,24,West Ham United,2167.0,€63M
Jurriën Timber,23,Arsenal FC,2327.0,€62.7M
Rico Lewis,20,Manchester City,1810.0,€62.7M
Matheus Cunha,25,Wolves,2164.0,€62.6M
Eberechi Eze,26,Crystal Palace,2174.0,€62.2M
Micky van de Ven,23,Tottenham,905.0,€62M
Morgan Gibbs-White,25,Nottingham Forest,2288.0,€61.7M
Curtis Jones,24,Liverpool FC,1414.0,€61.6M
João Pedro,23,Brighton & Hove Albion,1888.0,€61.3M
Bruno Fernandes,30,Manchester United,2636.0,€61.2M
Pedro Neto,25,Chelsea,1743.0,€60.4M
Dejan Kulusevski,24,Tottenham,2170.0,€60.3M
Gabriel Martinelli,23,Arsenal FC,1794.0,€60M
Cristian Romero,26,Tottenham,1371.0,€60M
Levi Colwill,22,Chelsea,2609.0,€59.8M
Darwin Núñez,25,Liverpool FC,1010.0,€59.7M
Destiny Udogie,22,Tottenham,1744.0,€59.4M
Alejandro Garnacho,20,Manchester United,1876.0,€59.2M
Marcus Rashford,27,Aston Villa,978.0,€58.6M
Diogo Jota,28,Liverpool FC,1043.0,€58.6M
Bryan Mbeumo,25,Brentford FC,2874.0,€57.6M
James Maddison,28,Tottenham,1764.0,€57.3M
Ibrahima Konaté,25,Liverpool FC,2140.0,€57.2M
Dean Huijsen,20,Bournemouth,1874.0,€56.3M
Pedro Porro,25,Tottenham,2373.0,€55.9M
Trent Alexander-Arnold,26,Liverpool FC,2145.0,€55.4M
Illia Zabarnyi,22,Bournemouth,2527.0,€55.1M
Kobbie Mainoo,19,Manchester United,1294.0,€54.8M
Anthony Gordon,24,Newcastle United,2121.0,€52.4M
Noni Madueke,23,Chelsea,1601.0,€52.3M
Sandro Tonali,24,Newcastle United,2000.0,€52.1M
Christopher Nkunku,27,Chelsea,921.0,€51.3M
Bernardo Silva,30,Manchester City,2131.0,€51.1M
João Gomes,24,Wolves,2511.0,€51.1M
Dominic Solanke,27,Tottenham,2028.0,€51M
Carlos Baleba,21,Brighton & Hove Albion,2147.0,€51M
Matthijs de Ligt,25,Manchester United,2089.0,€50.8M
Pape Matar Sarr,22,Tottenham,1511.0,€50.8M
Adam Wharton,21,Crystal Palace,1088.0,€49.3M
Riccardo Calafiori,22,Arsenal FC,925.0,€49.3M
Kaoru Mitoma,27,Brighton & Hove Albion,2467.0,€49.2M
Lisandro Martínez,27,Manchester United,1751.0,€49.2M
Marc Guéhi,24,Crystal Palace,2609.0,€48.9M
Amad Diallo,22,Manchester United,1594.0,€48.6M
Valentino Livramento,22,Newcastle United,2210.0,€48.4M
Jarrod Bowen,28,West Ham United,2456.0,€48.4M
Elliot Anderson,22,Nottingham Forest,2227.0,€46.2M
Pau Torres,28,Aston Villa,1639.0,€46.1M
Joelinton,28,Newcastle United,2242.0,€45.7M
Jacob Ramsey,23,Aston Villa,1406.0,€45.7M
Anthony Elanga,22,Nottingham Forest,2007.0,€45.6M
Antoine Semenyo,25,Bournemouth,2645.0,€45.4M
Noussair Mazraoui,27,Manchester United,2475.0,€45.3M
Boubacar Kamara,25,Aston Villa,1202.0,€45.2M
Justin Kluivert,25,Bournemouth,1936.0,€44.3M
Ezri Konsa,27,Aston Villa,2396.0,€44.3M
Manuel Akanji,29,Manchester City,1707.0,€43.7M
Joshua Zirkzee,23,Manchester United,1402.0,€43.3M
Youri Tielemans,27,Aston Villa,2735.0,€43.3M
Antonee Robinson,27,Fulham FC,2719.0,€42.7M
